audio,transcription,transcription_mfa
karuk-2010-10-25-sd-vs-2_25,kaam uum Chester pa'ukriivtih.,kaam uum Chester paqukriivtih
karuk-2010-10-25-sd-vs-2_26,kaam papuufich ta nimah.,kaam papuufich ta nimah
karuk-2010-10-25-sd-vs-2_27,karuk ta nivaaram karuk va'araas ta nimuustiheesh.,karuk ta nivaaram karuk vaqaraas ta nimuustiheesh
karuk-2010-10-25-sd-vs-2_28,karuk va'araar nimuustiheesh.,karuk vaqaraar nimuustiheesh
karuk-2010-10-25-sd-vs-2_29,ta nipvaaram.,ta nipvaaram
karuk-2010-10-25-sd-vs-2_30,nivaarameesh.,nivaarameesh
karuk-2010-10-25-sd-vs-2_32,yuum ta nimah papuufich.,yuum ta nimah papuufich
karuk-2010-10-25-sd-vs-2_33,yuum puufich ta nimah.,yuum puufich ta nimah
karuk-2010-10-25-sd-vs-2_34,ithyaruk papuufich ta nimah.,ithyaruk papuufich ta nimah
karuk-2010-10-25-sd-vs-2_35,ithyaruk ta nimah papuufich.,ithyaruk ta nimah papuufich
karuk-2010-10-25-sd-vs-2_36,pani'ahootih uum kunish nimahat papuufich pay'ook ukriivtih.,paniqahootih uum kunish nimahat papuufich payqook ukriivtih
karuk-2010-10-25-sd-vs-2_37,kunish ukviit-hitih pay'ook.,kunish ukviithitih payqook
karuk-2010-10-25-sd-vs-2_38,pani'ahootih pay'ook nimahat papuufich ukviit-hitih.,paniqahootih payqook nimahat papuufich ukviithitih
karuk-2010-10-25-sd-vs-2_39,pani'ahootih papuufich uum pamu'asimnaam ta nimah.,paniqahootih papuufich uum pamuqasimnaam ta nimah
karuk-2010-09-13-ag-vs-1_01,,
karuk-2010-09-13-ag-vs-1_02,vishtaantih.,vishtaantih
karuk-2010-09-13-ag-vs-1_03,pay um ivishtaantih?,pay um ivishtaantih
karuk-2010-09-13-ag-vs-1_04,iim yaamach.,iim yaamach
karuk-2010-09-13-ag-vs-1_05,ook naa!,ook naa
karuk-2010-09-13-ag-vs-1_05a,vaa mu'akah.,vaa muqakah
karuk-2010-09-13-ag-vs-1_06,hooy pami'aramah?,hooy pamiqaramah
karuk-2010-09-13-ag-vs-1_07,hooy pamitaat?,hooy pamitaat
karuk-2010-09-13-ag-vs-2_01,huut uthvuuytih?,huut uthvuuytih
karuk-2010-09-13-ag-vs-2_02,huut uthvuuyti pamihrooha?,huut uthvuuyti pamihrooha
karuk-2010-09-13-ag-vs-2_03,muthvuy uum Leslie.,muthvuy uum Leslie
karuk-2010-09-13-ag-vs-2_04,nanithvuy uum Andrew.,nanithvuy uum Andrew
karuk-2010-09-13-ag-vs-2_05,pamithvuy uum Vina.,pamithvuy uum Vina
karuk-2010-09-13-ag-vs-2_06,panani'akah vura tupihniichha.,pananiqakah vura tupihniichha
karuk-2010-09-13-ag-vs-2_07,panani'akah vura uum tupihniichha.,pananiqakah vura uum tupihniichha
karuk-2010-09-13-ag-vs-2_08,pananitaat karu tukeevniikichha.,pananitaat karu tukeevniikichha
karuk-2011-01-29-vs-1_01,xuun ip ni'av.,xuun ip niqav
karuk-2011-01-29-vs-1_02,xuun ip ni'avat.,xuun ip niqavat
karuk-2011-01-29-vs-1_03,faat i'avaheen?,faat iqavaheen
karuk-2011-01-29-vs-1_04,faat i'aveesh?,faat iqaveesh
karuk-2011-01-29-vs-1_05,faat i'aamti payeem?,faat iqaamti payeem
karuk-2011-01-29-vs-1_06,faat pee'aamtih?,faat peeqaamtih
karuk-2011-01-29-vs-1_07,akaay u'avaheen?,akaay uqavaheen
karuk-2011-01-29-vs-1_08,harivari i'avaheen paputiruh?,harivari iqavaheen paputiruh
karuk-2011-01-29-vs-1_09,vaa hum i'avaheen?,vaa hum iqavaheen
karuk-2011-01-29-vs-1_10,paputiruh hum i'avaheen?,paputiruh hum iqavaheen
karuk-2011-01-29-vs-1_11,vaa hum pee'avaheen?,vaa hum peeqavaheen
karuk-2011-01-29-vs-1_12,vaa hum pee'avaheen paputiruh?,vaa hum peeqavaheen paputiruh
karuk-2011-01-29-vs-1_13,paputiruh hum i'avaheen?,paputiruh hum iqavaheen
karuk-2011-01-29-vs-1_14,naa nimuusti vaa.,naa nimuusti vaa
karuk-2011-01-29-vs-1_15,faat imuustih?,faat imuustih
karuk-2011-01-29-vs-1_16,faat imuusti iim?,faat imuusti iim
karuk-2011-01-29-vs-1_17,vaa hum peemuustih?,vaa hum peemuustih
karuk-2011-01-29-vs-1_18,vaa hum imuustih?,vaa hum imuustih
karuk-2011-01-29-vs-1_19,vaa hum peemuusti iim?,vaa hum peemuusti iim
karuk-2011-01-29-vs-1_20,papusihich imuusti hum?,papusihich imuusti hum
karuk-2011-01-29-vs-1_21,papusihich imuusti iim.,papusihich imuusti iim
karuk-2011-01-29-vs-1_22,vaa pananipusihich utapkuuputih.,vaa pananipusihich utapkuuputih
karuk-2011-12-21-vs-1_01,ta neekvurishrih.,ta neekvurishrih
karuk-2011-12-21-vs-1_02,puxich ta neekvurishrih.,puxich ta neekvurishrih
karuk-2011-12-21-vs-1_03,ta neekvurishrih panipakuriihvutih.,ta neekvurishrih panipakuriihvutih
karuk-2011-12-21-vs-1_04,ta neekvurishrih puxich panipakuriihvutih.,ta neekvurishrih puxich panipakuriihvutih
karuk-2011-12-21-vs-1_05,puxich ip neekvurishrihat mah’iit payeem uum yav nipmahoonkoonatih.,puxich ip neekvurishrihat mahiit payeem uum yav nipmahoonkoonatih
karuk-2011-12-21-vs-1_06,mah’iit ta neep neekvurishrihat.,mahiit ta neep neekvurishrihat
karuk-2011-12-21-vs-1_07,payeem uum yav nipmahoonkoonatih.,payeem uum yav nipmahoonkoonatih
karuk-2011-12-21-vs-2_01,ta neekvurish.,ta neekvurish
karuk-2011-12-21-vs-2_02,ta nikvurishrih.,ta nikvurishrih
karuk-2011-12-21-vs-2_03,puyav nipmahoonkoonatihara.,puyav nipmahoonkoonatihara
karuk-2011-12-21-vs-2_04,huut ta ni'iin?,huut ta niqiin
karuk-2011-12-21-vs-2_05,huut ti'iin?,huut tiqiin
karuk-2011-12-21-vs-2_06,huut uum tu'iin?,huut uum tuqiin
karuk-2011-12-21-vs-2_07,huut papusihich tu'iin?,huut papusihich tuqiin
karuk-2011-12-21-vs-2_08,puyav paneepmahoonkoonatihara.,puyav paneepmahoonkoonatihara
karuk-2011-12-21-vs-2_09,ta naxuriha naa.,ta naxuriha naa
karuk-2011-12-21-vs-2_10,naa ta naxuriha.,naa ta naxuriha
karuk-2011-12-21-vs-2_11,naa vura ta naxuriha puxich.,naa vura ta naxuriha puxich
karuk-2011-12-21-vs-2_12,naa vura punaxurihitihara.,naa vura punaxurihitihara
karuk-2011-12-21-vs-2_13,mah’iit ip naxurihitihat payeem uum punaxurihitihara.,mahiit ip naxurihitihat payeem uum punaxurihitihara
karuk-2011-12-21-vs-2_14,mah’iit naxurihitihat.,mahiit naxurihitihat
karuk-2011-12-21-vs-2_15,mah’iit ip naxurihitihat.,mahiit ip naxurihitihat
karuk-2011-12-21-vs-2_16,payeem uum punaxurihitihara.,payeem uum punaxurihitihara
karuk-2011-12-21-vs-3_01,kaarim nipmahoonkoonatih.,kaarim nipmahoonkoonatih
karuk-2011-12-21-vs-3_02,kaarim nipmahoonkoonatih naa.,kaarim nipmahoonkoonatih naa
karuk-2011-12-21-vs-3_03,naa vura puxich kaarim ta nipmahoonkoon.,naa vura puxich kaarim ta nipmahoonkoon
karuk-2011-12-21-vs-3_04,pusihich ip iikam uvaaram.,pusihich ip iikam uvaaram
karuk-2011-12-21-vs-3_05,papusihich iikam tu'uum.,papusihich iikam tuquum
karuk-2011-12-21-vs-3_06,puyav nipmahoonkoonatih papusihich iikam tuvaaram.,puyav nipmahoonkoonatih papusihich iikam tuvaaram
karuk-2011-12-21-vs-3_07,naa vura nayikihitih.,naa vura nayikihitih
karuk-2011-12-21-vs-3_08,iim hum iyikihitih?,iim hum iyikihitih
karuk-2011-12-21-vs-3_09,naa nayikihitih.,naa nayikihitih
karuk-2011-12-21-vs-3_10,naa ta na'aathva.,naa ta naqaathva
karuk-2011-12-21-vs-3_11,iim tee'aathva?,iim teeqaathva
karuk-2011-12-21-vs-3_12,ta ni'ay pa'apxantinihich.,ta niqay paqapxantinihich
karuk-2011-12-21-vs-3_13,vúra puxich ta neexviipha.,vu1ra puxich ta neexviipha
karuk-2011-12-21-vs-3_14,iim teexviipha?,iim teexviipha
karuk-2011-12-21-vs-3_15,vúra puxich ta nafurathfip.,vu1ra puxich ta nafurathfip
karuk-2011-12-21-vs-3_16,ta nafurathfip.,ta nafurathfip
karuk-2011-12-21-vs-3_17,panani'ifunih too fiipha.,pananiqifunih too fiipha
karuk-2011-12-21-vs-3_18,papusihich huukava tu'uum.,papusihich huukava tuquum
karuk-2011-12-21-vs-3_19,naa athiik.,naa athiik
karuk-2011-12-21-vs-3_20,uum athiik.,uum athiik
karuk-2011-12-21-vs-3_21,uum puxich ta neemchax.,uum puxich ta neemchax
karuk-2011-12-21-vs-3_22,pa'aas athiik.,paqaas athiik
karuk-2011-12-21-vs-3_23,iikam uum athiik.,iikam uum athiik
karuk-2011-12-21-vs-3_24,naa vura uum ishriiv.,naa vura uum ishriiv
karuk-2011-12-21-vs-3_25,ta na'axaska.,ta naqaxaska
karuk-2011-12-21-vs-3_26,uum tu'axaska.,uum tuqaxaska
karuk-2011-12-21-vs-3_27,Andrew uum tu'axaska.,Andrew uum tuqaxaska
karuk-2011-12-21-vs-3_28,ta ni'aapunma.,ta niqaapunma
karuk-2011-12-21-vs-3_29,naa ni'aapunmutih.,naa niqaapunmutih
karuk-2011-12-21-vs-3_30,naa ta ni'itap.,naa ta niqitap
karuk-2011-12-21-vs-3_31,naa vura puna'aapunmutihara.,naa vura punaqaapunmutihara
karuk-2011-12-21-vs-3_32,iim ta nupitap.,iim ta nupitap
karuk-2011-12-21-vs-3_33,iim punupitaptihara.,iim punupitaptihara
karuk-2011-12-21-vs-3_34,uum puxich ishaha ta neexra.,uum puxich ishaha ta neexra
karuk-2011-12-21-vs-3_35,iim ishaha teexra?,iim ishaha teexra
karuk-2011-12-21-vs-3_36,naa puneexratihara.,naa puneexratihara
karuk-2011-12-21-vs-3_37,ta neefchak.,ta neefchak
karuk-2011-12-21-vs-3_38,puuhara naa puneefchaktihara.,puuhara naa puneefchaktihara
karuk-2011-12-21-vs-4_01,ipit ip iikam puuvish uthaaniv.,ipit ip iikam puuvish uthaaniv
karuk-2011-12-21-vs-4_02,ipit ip puuvish iikam uthaaniv.,ipit ip puuvish iikam uthaaniv
karuk-2011-12-21-vs-4_03,ipit papaah iikam.,ipit papaah iikam
karuk-2011-12-21-vs-4_04,ipit iikam paah uthaaniv.,ipit iikam paah uthaaniv
karuk-2011-12-21-vs-4_05,ipit paweasel iikam ukrii.,ipit paweasel iikam ukrii
karuk-2011-12-21-vs-4_06,ipit pa'aanxus iikam ukrii.,ipit paqaanxus iikam ukrii
karuk-2011-12-21-vs-4_07,naa pakaruk uuhyan nichuuphitih.,naa pakaruk uuhyan nichuuphitih
karuk-2011-12-21-vs-4_08,naa pakaruk uuhyan ni'itaptih.,naa pakaruk uuhyan niqitaptih
karuk-2011-12-21-vs-4_09,faatva iikam ukrii.,faatva iikam ukrii
karuk-2011-12-21-vs-4_10,ukrii.,ukrii
karuk-2011-12-21-vs-4_11,faatva iikam ta nithitiv.,faatva iikam ta nithitiv
karuk-2011-12-21-vs-4_12,ipit iikam faatva ukrii.,ipit iikam faatva ukrii
karuk-2011-12-21-vs-4_13,iikam pa'ipaha.,iikam paqipaha
karuk-2011-12-21-vs-4_14,iikam papaah.,iikam papaah
karuk-2011-12-21-vs-4_15,faat iikam?,faat iikam
karuk-2011-12-21-vs-4_16,faat iikam tee mah?,faat iikam tee mah
karuk-2011-12-21-vs-4_17,faatva ta nimah.,faatva ta nimah
karuk-2011-12-21-vs-4_18,faatva ta nimaahti iikam.,faatva ta nimaahti iikam
karuk-2011-12-21-vs-4_19,muxvaah uum pamu'aasravar.,muxvaah uum pamuqaasravar
karuk-2011-12-21-vs-4_20,mu'aasravar too hruv.,muqaasravar too hruv
karuk-2011-12-21-vs-4_21,too hruv.,too hruv
karuk-2011-12-21-vs-4_22,ipit pamu'asravara uhruuvtih.,ipit pamuqasravara uhruuvtih
karuk-2011-12-21-vs-5_01,hooy pamipoor?,hooy pamipoor
karuk-2011-12-21-vs-5_02,hooy pami'aan?,hooy pamiqaan
karuk-2011-12-21-vs-5_03,pamu'aan uum iikam.,pamuqaan uum iikam
karuk-2011-12-21-vs-5_04,hooy uum pamu'ahup?,hooy uum pamuqahup
karuk-2011-12-21-vs-5_05,pamu'akah uum iikam.,pamuqakah uum iikam
karuk-2011-12-21-vs-5_06,xayfaat i'ish panani'ishaha.,xayfaat iqish pananiqishaha
karuk-2011-12-21-vs-5_07,uum muchviiv?,uum muchviiv
karuk-2011-12-21-vs-5_08,uum vaa muchviiv?,uum vaa muchviiv
karuk-2011-12-21-vs-5_09,uum vaa mu'achviiv?,uum vaa muqachviiv
karuk-2011-12-21-vs-5_10,pa'akvaat iinaak tu'uum.,paqakvaat iinaak tuquum
karuk-2011-12-21-vs-5_11,pusihich'avah tu'av pa'akvaat.,pusihichqavah tuqav paqakvaat
karuk-2011-12-21-vs-5_12,pa'akvaat iinaak tu'uum xas vaa papusihich'avah tu'av.,paqakvaat iinaak tuquum xas vaa papusihichqavah tuqav
karuk-2011-12-21-vs-5_13,tu'av.,tuqav
karuk-2011-12-21-vs-5_14,xayfaat i'afish pamu'apsuun.,xayfaat iqafish pamuqapsuun
karuk-2011-12-21-vs-5_15,ni'aayti pamu'apsuun.,niqaayti pamuqapsuun
karuk-2011-12-21-vs-5_16,ni'aaytih.,niqaaytih
karuk-2011-12-21-vs-5_17,panani'ahaknah tee mah hum?,pananiqahaknah tee mah hum
karuk-2011-12-21-vs-5_18,Clare uum tu'ay pa'ahaknak.,Clare uum tuqay paqahaknak
karuk-2011-12-21-vs-5_19,hooy pananichishiih?,hooy pananichishiih
karuk-2011-12-21-vs-5_20,ipit ip iikam pachishiih ukrii.,ipit ip iikam pachishiih ukrii
karuk-2011-12-21-vs-5_21,chishiih iikam ukrii.,chishiih iikam ukrii
karuk-2011-12-21-vs-5_22,chishiih iikam uthaaniv.,chishiih iikam uthaaniv
karuk-2011-12-21-vs-5_23,pananichishiih iikam uthaaniv.,pananichishiih iikam uthaaniv
karuk-2011-12-21-vs-5_24,iikam ukrii.,iikam ukrii
karuk-2011-12-21-vs-5_25,hooy pamichishiih?,hooy pamichishiih
karuk-2011-12-21-vs-5_26,hooy pamipuuvish?,hooy pamipuuvish
karuk-2011-12-21-vs-5_27,pananipuuvish uum iinaak.,pananipuuvish uum iinaak
karuk-2011-12-21-vs-5_28,hooy pamipusihich?,hooy pamipusihich
karuk-2011-12-21-vs-5_29,pananipusihich ukviit-hitih.,pananipusihich ukviithitih
karuk-2011-12-21-vs-5_30,uum ukviit-hitih.,uum ukviithitih
karuk-2011-12-21-vs-5_31,hooy pamiputiruh?,hooy pamiputiruh
karuk-2011-12-21-vs-5_32,pananiputiruh uum iikam.,pananiputiruh uum iikam
karuk-2011-12-21-vs-5_34,pananichishii uum iikam.,pananichishii uum iikam
karuk-2011-12-21-vs-5_35,paah uum papusihich ukrii.,paah uum papusihich ukrii
karuk-2011-12-21-vs-5_36,panani'apxaan uum paah uthiv.,pananiqapxaan uum paah uthiv
karuk-2011-12-21-vs-5_37,papusihich uum paahak ukrii.,papusihich uum paahak ukrii
karuk-2011-12-21-vs-5_38,ahup too thiishrih kaan.,ahup too thiishrih kaan
karuk-2011-12-21-vs-5_39,too thiishrih.,too thiishrih
karuk-2011-12-21-vs-5_40,pa'ahup uum tu'iinka.,paqahup uum tuqiinka
karuk-2011-12-21-vs-5_41,pa'ahup uum aak tu'iinka.,paqahup uum aak tuqiinka
karuk-2011-12-21-vs-5_42,naa panani'apxaan uum nithxuunatih.,naa pananiqapxaan uum nithxuunatih
karuk-2011-12-21-vs-5_43,nithxuunatih.,nithxuunatih
karuk-2011-12-21-vs-5_44,faat uthivtakoo pamixvaah?,faat uthivtakoo pamixvaah
karuk-2011-12-21-vs-5_45,pananixvaah uum yaamach.,pananixvaah uum yaamach
karuk-2011-12-21-vs-5_46,yaamach mixvaah.,yaamach mixvaah
karuk-2011-12-21-vs-5_47,faat uthaaniv kaan peempaah?,faat uthaaniv kaan peempaah
karuk-2011-12-21-vs-5_48,impaah papuuvish uthaaniv.,impaah papuuvish uthaaniv
karuk-2011-12-21-vs-5_49,faatva kaan ukrii pakaas.,faatva kaan ukrii pakaas
karuk-2011-12-21-vs-5_50,achviiv vaa kaan ukuuntakoo.,achviiv vaa kaan ukuuntakoo
karuk-2011-12-21-vs-5_51,achviiv vaa kaan ukrii.,achviiv vaa kaan ukrii
karuk-2011-12-21-vs-5_52,akaay vaa kaan ukrii pa'ikrivkir.,akaay vaa kaan ukrii paqikrivkir
karuk-2011-12-21-vs-5_53,pa'as paathkurihi pa'ishahak.,paqas paathkurihi paqishahak
karuk-2011-12-21-vs-5_54,nishkaakuriheesh.,nishkaakuriheesh
karuk-2011-12-21-vs-5_55,hooy tivaaram?,hooy tivaaram
karuk-2011-12-21-vs-5_56,ithaantakoo vaa kaan ipahak.,ithaantakoo vaa kaan ipahak
karuk-2011-12-21-vs-5_57,vaa kaan puuvish tharishrih.,vaa kaan puuvish tharishrih
karuk-2011-12-21-vs-5_58,apmaan thiishrih.,apmaan thiishrih
karuk-2011-12-21-vs-5_59,pachishiih iinaak voonfuruk.,pachishiih iinaak voonfuruk
karuk-2011-12-21-vs-5_60,vaa kaan ip nikveeshrihat peekrivraamak.,vaa kaan ip nikveeshrihat peekrivraamak
karuk-2011-12-21-vs-5_61,pa'ikxurikar iyuunkuriheesh pay'ook.,paqikxurikar iyuunkuriheesh payqook
karuk-2011-12-21-vs-5_62,teexuriha hum?,teexuriha hum
karuk-2011-12-21-vs-5_63,iim karu teexuriha.,iim karu teexuriha
karuk-2011-12-21-vs-6_01,pa'avansa panamniik ukrii.,paqavansa panamniik ukrii
karuk-2011-12-21-vs-6_02,ip nimahat pa'avansa.,ip nimahat paqavansa
karuk-2011-12-21-vs-6_03,pa'avansa ip nimahat Orleans ukrii.,paqavansa ip nimahat Orleans ukrii
karuk-2011-12-21-vs-6_04,pa'avansa Orleans ukrii iin ip namahat.,paqavansa Orleans ukrii iin ip namahat
karuk-2011-12-21-vs-6_05,pa'avansa Orleans ukrii ip iin namahat.,paqavansa Orleans ukrii ip iin namahat
karuk-2011-12-21-vs-6_06,pa'avansa iin neemusti Orleans aramsiiprintih.,paqavansa iin neemusti Orleans aramsiiprintih
karuk-2011-12-21-vs-6_07,pa'avansa Orleans aramsiiprinti iim iin neemustih.,paqavansa Orleans aramsiiprinti iim iin neemustih
karuk-2011-12-21-vs-6_08,pa'avansa too kyivishrih.,paqavansa too kyivishrih
karuk-2011-12-21-vs-6_09,pa'avansa paOrleans aramsiiprinti ukyivishrih.,paqavansa paOrleans aramsiiprinti ukyivishrih
karuk-2011-12-21-vs-6_10,vaa pa'avansa nipitaptih.,vaa paqavansa nipitaptih
karuk-2011-12-21-vs-6_11,vaa nipitapti pa'avansa panamniik aramsiiprintih.,vaa nipitapti paqavansa panamniik aramsiiprintih
karuk-2011-12-21-vs-6_12,vaa ip nichuphuunishti pa'avansa.,vaa ip nichuphuunishti paqavansa
karuk-2011-12-21-vs-6_13,nichuphuunish pa'avansa paOrleans ukrii.,nichuphuunish paqavansa paOrleans ukrii
karuk-2011-12-21-vs-6_14,pa'avansa iin nipitaptih.,paqavansa iin nipitaptih
karuk-2011-12-21-vs-6_15,yupsitanich too xrara.,yupsitanich too xrara
karuk-2011-12-21-vs-6_16,naa ta neexrara.,naa ta neexrara
karuk-2011-12-21-vs-6_17,naa puneexraratihara.,naa puneexraratihara
karuk-2011-12-21-vs-6_18,payupsitanich puxraratih.,payupsitanich puxraratih
karuk-2011-12-21-vs-6_19,xayfaat ixraratih.,xayfaat ixraratih
karuk-2011-12-21-vs-6_20,xayfaat ixrara.,xayfaat ixrara
karuk-2011-12-21-vs-6_21,naa nixrareesh.,naa nixrareesh
karuk-2011-12-21-vs-6_22,xayfaat ikshah.,xayfaat ikshah
karuk-2011-12-21-vs-6_23,naa nikshaatih.,naa nikshaatih
karuk-2011-12-21-vs-6_24,naa ta nikshah.,naa ta nikshah
karuk-2011-12-21-vs-6_25,ta kunikyamiichvunaa.,ta kunikyamiichvunaa
karuk-2011-12-21-vs-7_01,vaa kaan papaah iikam ipit.,vaa kaan papaah iikam ipit
karuk-2011-12-21-vs-7_02,vaa kaan ipit pachiipich ukrii.,vaa kaan ipit pachiipich ukrii
karuk-2011-12-21-vs-7_03,ipit iikam uum pa'achkuun ukrii.,ipit iikam uum paqachkuun ukrii
karuk-2011-12-21-vs-7_04,ipit ip iikam pa'achnaat ukrii.,ipit ip iikam paqachnaat ukrii
karuk-2011-12-21-vs-7_05,ipit ip iikam ukrii pa'achnaat.,ipit ip iikam ukrii paqachnaat
karuk-2011-12-21-vs-7_06,ipit ip iikam pa'akviish ukreet.,ipit ip iikam paqakviish ukreet
karuk-2011-12-21-vs-7_07,ipit ip iikam pa'akviish ukrii.,ipit ip iikam paqakviish ukrii
karuk-2011-12-21-vs-7_08,chuupha ti'itapti hum pa'ararahih?,chuupha tiqitapti hum paqararahih
karuk-2011-12-21-vs-7_09,ta neekshupih.,ta neekshupih
karuk-2011-12-21-vs-7_10,uxus xaatik ni'itap.,uxus xaatik niqitap
karuk-2011-12-21-vs-7_11,pay papuuvish upsheek.,pay papuuvish upsheek
karuk-2011-12-21-vs-7_12,pay papuuvish vura uum upsheek.,pay papuuvish vura uum upsheek
karuk-2011-12-21-vs-7_13,ipit pananipuuvish upsheek.,ipit pananipuuvish upsheek
karuk-2011-12-21-vs-7_14,ipit papuuvish upsheek.,ipit papuuvish upsheek
karuk-2011-12-21-vs-7_15,panaa neepsheekti pay puuvish.,panaa neepsheekti pay puuvish
karuk-2011-12-21-vs-7_16,iim teepsheek.,iim teepsheek
karuk-2011-12-21-vs-7_17,naa karu ta neepsheek.,naa karu ta neepsheek
karuk-2011-12-21-vs-7_18,naa neepsheektih.,naa neepsheektih
karuk-2011-12-21-vs-7_19,naa karu neepsheektih.,naa karu neepsheektih
karuk-2011-12-21-vs-7_20,too hyiiva.,too hyiiva
karuk-2011-12-21-vs-7_21,pi'eep pihneefich vaa kaan ukrii.,piqeep pihneefich vaa kaan ukrii
karuk-2011-12-21-vs-7_22,akaay vaa kaan ukreenik pi'eep?,akaay vaa kaan ukreenik piqeep
karuk-2011-12-21-vs-8_01,ta nitatuyshuru.,ta nitatuyshuru
karuk-2011-12-21-vs-8_02,nitatuyshureesh.,nitatuyshureesh
karuk-2011-12-21-vs-8_03,ta numah.,ta numah
karuk-2011-12-21-vs-8_04,ta numah iin.,ta numah iin
karuk-2011-12-21-vs-8_05,,
karuk-2011-12-21-vs-8_06,ta nuthitiv.,ta nuthitiv
karuk-2011-12-21-vs-8_07,iim puta nathitivara.,iim puta nathitivara
karuk-2011-12-21-vs-8_08,iim punuthitiimtihara.,iim punuthitiimtihara
karuk-2011-12-21-vs-8_09,iim ta numsakar.,iim ta numsakar
karuk-2011-12-21-vs-8_10,iim puneemshakaantihara.,iim puneemshakaantihara
karuk-2011-12-21-vs-8_11,iim ta nu'afish.,iim ta nuqafish
karuk-2011-12-21-vs-8_12,iim punu'afishrihara.,iim punuqafishrihara
karuk-2011-12-21-vs-8_13,iim nupareesh.,iim nupareesh
karuk-2011-12-21-vs-8_14,nupareesh.,nupareesh
karuk-2011-12-21-vs-8_15,iim payeem ta nupar.,iim payeem ta nupar
karuk-2011-12-21-vs-8_16,iim naa punupareeshara.,iim naa punupareeshara
karuk-2011-12-21-vs-8_17,iim punupareeshara payeem.,iim punupareeshara payeem
karuk-2011-12-21-vs-8_18,naa vura puna'aytihara.,naa vura punaqaytihara
karuk-2011-12-21-vs-8_19,naa vura ni'ayti payeem.,naa vura niqayti payeem
karuk-2011-12-21-vs-8_20,niheeratih.,niheeratih
karuk-2011-12-21-vs-8_21,naa niheeratih.,naa niheeratih
karuk-2011-12-21-vs-8_22,naa vura itihaan paniheeratih.,naa vura itihaan paniheeratih
karuk-2011-12-21-vs-8_23,naa vura itihaan niheeratih.,naa vura itihaan niheeratih
karuk-2011-12-21-vs-8_24,naa puneeheeratihara.,naa puneeheeratihara
karuk-2011-12-21-vs-8_25,naa niheeratih.,naa niheeratih
karuk-2011-12-21-vs-8_26,naa nikfuyfuuytih.,naa nikfuyfuuytih
karuk-2011-12-21-vs-8_27,naa nikfuy.,naa nikfuy
karuk-2011-12-21-vs-8_28,Andrew too kfuy.,Andrew too kfuy
karuk-2011-12-21-vs-8_29,ta nikfuy.,ta nikfuy
karuk-2011-12-21-vs-8_30,naa ta nikfuy.,naa ta nikfuy
karuk-2011-12-21-vs-8_31,naa puneekfuuytihara.,naa puneekfuuytihara
karuk-2011-12-21-vs-8_32,naa nipakuriihvutih.,naa nipakuriihvutih
karuk-2011-12-21-vs-8_33,naa punapakuriihvutihara.,naa punapakuriihvutihara
karuk-2011-12-21-vs-8_34,iim ta numah.,iim ta numah
karuk-2011-12-21-vs-8_35,ta nimah.,ta nimah
karuk-2011-12-21-vs-8_36,punamaahtihara.,punamaahtihara
karuk-2011-12-21-vs-8_37,punamaahtih.,punamaahtih
karuk-2011-12-21-vs-8_38,naa vura punapakuriihvutihara.,naa vura punapakuriihvutihara
karuk-2011-12-21-vs-8_39,punapakuriihvutihara.,punapakuriihvutihara
karuk-2011-12-21-vs-8_40,pananipusihich ni'apimtih.,pananipusihich niqapimtih
karuk-2011-12-21-vs-8_41,ni'apimtih.,niqapimtih
karuk-2011-12-21-vs-8_42,pananipusihich ta ni'apiv.,pananipusihich ta niqapiv
karuk-2011-12-21-vs-8_43,puna'apimtihara.,punaqapimtihara
karuk-2011-12-21-vs-8_44,ta neemchak.,ta neemchak
karuk-2011-12-21-vs-8_45,iim karu imchakvaan?,iim karu imchakvaan
karuk-2011-12-21-vs-8_46,too mchak.,too mchak
karuk-2011-12-21-vs-8_47,iim tee mchak.,iim tee mchak
karuk-2011-12-21-vs-8_48,nikshaahtih.,nikshaahtih
karuk-2011-12-21-vs-8_49,naa nikshaahti.,naa nikshaahti
karuk-2011-12-21-vs-8_50,nipikshaahtih.,nipikshaahtih
karuk-2011-12-21-vs-8_51,naa nikshaahti vaa.,naa nikshaahti vaa
karuk-2011-12-21-vs-8_52,faat ta nikuupha?,faat ta nikuupha
karuk-2011-12-21-vs-8_53,iim teekshah.,iim teekshah
karuk-2011-12-21-vs-8_54,iim tee takav paxut.,iim tee takav paxut
karuk-2011-12-21-vs-8_55,ta nitakav.,ta nitakav
karuk-2011-12-21-vs-8_56,iim tee takav pamifyiiv.,iim tee takav pamifyiiv
karuk-2011-12-21-vs-8_57,ipit iikam pahaknah ook kaan ukrii.,ipit iikam pahaknah ook kaan ukrii
karuk-2011-12-21-vs-8_58,ook kaan iikam ukrii pahaknah.,ook kaan iikam ukrii pahaknah
karuk-2011-12-21-vs-8_59,iikam ukrii.,iikam ukrii
karuk-2011-12-21-vs-8_60,pachinim pa'ipita iinaak uvoonfurukatih.,pachinim paqipita iinaak uvoonfurukatih
karuk-2011-12-21-vs-8_61,iikam pa'ipit nimah mi'aramah.,iikam paqipit nimah miqaramah
karuk-2011-12-21-vs-8_62,iikam vura taay pa'eeth.,iikam vura taay paqeeth
karuk-2011-12-21-vs-8_63,ipit pa'eeth iikam kaan ukrii.,ipit paqeeth iikam kaan ukrii
karuk-2011-12-21-vs-8_64,ipit pa'eeth iikam ukrii.,ipit paqeeth iikam ukrii
