audio,transcription,Unnamed: 2,extra,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
karuk-2011-01-29-vs-1_18,vaa hum imuustih?,,,,,,
karuk-2011-01-29-vs-1_19,vaa hum peemuusti iim?,,,,,,
karuk-2011-01-29-vs-1_20,papusihich imuusti hum?,,,,,,
karuk-2011-01-29-vs-1_21,papusihich imuusti iim.,,,,,,
karuk-2011-01-29-vs-1_22,vaa pananipusihich utapkuuputih.,,,,,,
karuk-2011-12-21-vs-1_01,ta neekvurishrih.,,,,,,
karuk-2011-12-21-vs-1_02,puxich ta neekvurishrih.,,,,,,
karuk-2011-12-21-vs-1_03,ta neekvurishrih panipakuriihvutih.,,,,,,
karuk-2011-12-21-vs-1_04,ta neekvurishrih puxich panipakuriihvutih.,,,,,,
karuk-2011-12-21-vs-1_05,puxich ip neekvurishrihat mah’iit payeem uum yav nipmahoonkoonatih.,,,,,,
karuk-2011-12-21-vs-1_06,mah’iit ta neep neekvurishrihat.,,,,,,
karuk-2011-12-21-vs-1_07,payeem uum yav nipmahoonkoonatih.,,,,,,
karuk-2011-12-21-vs-2_01,ta neekvurish.,,,,,,
karuk-2011-12-21-vs-2_02,ta nikvurishrih.,,,,,,
karuk-2011-12-21-vs-2_03,puyav nipmahoonkoonatihara.,,,,,,
karuk-2011-12-21-vs-2_04,huut ta ni'iin?,,,,,,
karuk-2011-12-21-vs-2_05,huut ti'iin?,,,,,,
karuk-2011-12-21-vs-2_06,huut uum tu'iin?,,,,,,
karuk-2011-12-21-vs-2_07,huut papusihich tu'iin?,,,,,,
karuk-2011-12-21-vs-2_08,puyav paneepmahoonkoonatihara.,,,,,,
karuk-2011-12-21-vs-2_09,ta naxuriha naa.,,,,,,
karuk-2011-12-21-vs-2_10,naa ta naxuriha.,,,,,,
karuk-2011-12-21-vs-2_11,naa vura ta naxuriha puxich.,,,,,,
karuk-2011-12-21-vs-2_12,naa vura punaxurihitihara.,,,,,,
karuk-2011-12-21-vs-2_13,mah’iit ip naxurihitihat payeem uum punaxurihitihara.,,,,,,
karuk-2011-12-21-vs-2_14,mah’iit naxurihitihat.,,,,,,
karuk-2011-12-21-vs-2_15,mah’iit ip naxurihitihat.,,,,,,
karuk-2011-12-21-vs-2_16,payeem uum punaxurihitihara.,,,,,,
karuk-2011-12-21-vs-3_01,kaarim nipmahoonkoonatih.,,,,,,
karuk-2011-12-21-vs-3_02,kaarim nipmahoonkoonatih naa.,,,,,,
karuk-2011-12-21-vs-3_03,naa vura puxich kaarim ta nipmahoonkoon.,,,,,,
karuk-2011-12-21-vs-3_04,pusihich ip iikam uvaaram.,,,,,,
karuk-2011-12-21-vs-3_05,papusihich iikam tu'uum.,,,,,,
karuk-2011-12-21-vs-3_06,puyav nipmahoonkoonatih papusihich iikam tuvaaram.,,,,,,
karuk-2011-12-21-vs-3_07,naa vura nayikihitih.,,,,,,
karuk-2011-12-21-vs-3_08,iim hum iyikihitih?,,,,,,
karuk-2011-12-21-vs-3_09,naa nayikihitih.,,,,,,
karuk-2011-12-21-vs-3_10,naa ta na'aathva.,,,,,,
karuk-2011-12-21-vs-3_11,iim tee'aathva?,,,,,,
karuk-2011-12-21-vs-3_12,ta ni'ay pa'apxantinihich.,,,,,,
karuk-2011-12-21-vs-3_13,vúra puxich ta neexviipha.,,,,,,
karuk-2011-12-21-vs-3_14,iim teexviipha?,,,,,,
karuk-2011-12-21-vs-3_15,vúra puxich ta nafurathfip.,,,,,,
karuk-2011-12-21-vs-3_16,ta nafurathfip.,,,,,,
karuk-2011-12-21-vs-3_17,panani'ifunih too fiipha.,,,,,,
karuk-2011-12-21-vs-3_18,papusihich huukava tu'uum.,,,,,,
karuk-2011-12-21-vs-3_19,naa athiik.,,,,,,
karuk-2011-12-21-vs-3_20,uum athiik.,,,,,,
karuk-2011-12-21-vs-3_21,uum puxich ta neemchax.,,,,,,
karuk-2011-12-21-vs-3_22,pa'aas athiik.,,,,,,
karuk-2011-12-21-vs-3_23,iikam uum athiik.,,,,,,
karuk-2011-12-21-vs-3_24,naa vura uum ishriiv.,,,,,,
karuk-2011-12-21-vs-3_25,ta na'axaska.,,,,,,
karuk-2011-12-21-vs-3_26,uum tu'axaska.,,,,,,
karuk-2011-12-21-vs-3_27,Andrew uum tu'axaska.,,,,,,
karuk-2011-12-21-vs-3_28,ta ni'aapunma.,,,,,,
karuk-2011-12-21-vs-3_29,naa ni'aapunmutih.,,,,,,
karuk-2011-12-21-vs-3_30,naa ta ni'itap.,,,,,,
karuk-2011-12-21-vs-3_31,naa vura puna'aapunmutihara.,,,,,,
karuk-2011-12-21-vs-3_32,iim ta nupitap.,,,,,,
karuk-2011-12-21-vs-3_33,iim punupitaptihara.,,,,,,
karuk-2011-12-21-vs-3_34,uum puxich ishaha ta neexra.,,,,,,
karuk-2011-12-21-vs-3_35,iim ishaha teexra?,,,,,,
karuk-2011-12-21-vs-3_36,naa puneexratihara.,,,,,,
karuk-2011-12-21-vs-3_37,ta neefchak.,,,,,,
karuk-2011-12-21-vs-3_38,puuhara naa puneefchaktihara.,,,,,,
karuk-2011-12-21-vs-4_01,ipit ip iikam puuvish uthaaniv.,,,,,,
karuk-2011-12-21-vs-4_02,ipit ip puuvish iikam uthaaniv.,,,,,,
karuk-2011-12-21-vs-4_03,ipit papaah iikam.,,,,,,
karuk-2011-12-21-vs-4_04,ipit iikam paah uthaaniv.,,,,,,
karuk-2011-12-21-vs-4_05,ipit paweasel iikam ukrii.,,,,,,
karuk-2011-12-21-vs-4_06,ipit pa'aanxus iikam ukrii.,,,,,,
karuk-2011-12-21-vs-4_07,naa pakaruk uuhyan nichuuphitih.,,,,,,
karuk-2011-12-21-vs-4_08,naa pakaruk uuhyan ni'itaptih.,,,,,,
karuk-2011-12-21-vs-4_09,faatva iikam ukrii.,,,,,,
karuk-2011-12-21-vs-4_10,ukrii.,,,,,,
karuk-2011-12-21-vs-4_11,faatva iikam ta nithitiv.,,,,,,
karuk-2011-12-21-vs-4_12,ipit iikam faatva ukrii.,,,,,,
karuk-2011-12-21-vs-4_13,iikam pa'ipaha.,,,,,,
karuk-2011-12-21-vs-4_14,iikam papaah.,,,,,,
karuk-2011-12-21-vs-4_15,faat iikam?,,,,,,
karuk-2011-12-21-vs-4_16,faat iikam tee mah?,,,,,,
karuk-2011-12-21-vs-4_17,faatva ta nimah.,,,,,,
karuk-2011-12-21-vs-4_18,faatva ta nimaahti iikam.,,,,,,
karuk-2011-12-21-vs-4_19,muxvaah uum pamu'aasravar.,,,,,,
karuk-2011-12-21-vs-4_20,mu'aasravar too hruv.,,,,,,
karuk-2011-12-21-vs-4_21,too hruv.,,,,,,
karuk-2011-12-21-vs-4_22,ipit pamu'asravara uhruuvtih.,,,,,,
karuk-2011-12-21-vs-5_01,hooy pamipoor?,,,,,,
karuk-2011-12-21-vs-5_02,hooy pami'aan?,,,,,,
karuk-2011-12-21-vs-5_03,pamu'aan uum iikam.,,,,,,
karuk-2011-12-21-vs-5_04,hooy uum pamu'ahup?,,,,,,
karuk-2011-12-21-vs-5_05,pamu'akah uum iikam.,,,,,,
karuk-2011-12-21-vs-5_06,xayfaat i'ish panani'ishaha.,,,,,,
karuk-2011-12-21-vs-5_07,uum muchviiv?,,,,,,
karuk-2011-12-21-vs-5_08,uum vaa muchviiv?,,,,,,
karuk-2011-12-21-vs-5_09,uum vaa mu'achviiv?,,,,,,
karuk-2011-12-21-vs-5_10,pa'akvaat iinaak tu'uum.,,,,,,
karuk-2011-12-21-vs-5_11,pusihich'avah tu'av pa'akvaat.,,,,,,
karuk-2011-12-21-vs-5_12,pa'akvaat iinaak tu'uum xas vaa papusihich'avah tu'av.,,,,,,
karuk-2011-12-21-vs-5_13,tu'av.,,,,,,
karuk-2011-12-21-vs-5_14,xayfaat i'afish pamu'apsuun.,,,,,,
karuk-2011-12-21-vs-5_15,ni'aayti pamu'apsuun.,,,,,,
karuk-2011-12-21-vs-5_16,ni'aaytih.,,,,,,
karuk-2011-12-21-vs-5_17,panani'ahaknah tee mah hum?,,,,,,
karuk-2011-12-21-vs-5_18,Clare uum tu'ay pa'ahaknak.,,,,,,
karuk-2011-12-21-vs-5_19,hooy pananichishiih?,,,,,,
karuk-2011-12-21-vs-5_20,ipit ip iikam pachishiih ukrii.,,,,,,
karuk-2011-12-21-vs-5_21,chishiih iikam ukrii.,,,,,,
karuk-2011-12-21-vs-5_22,chishiih iikam uthaaniv.,,,,,,
karuk-2011-12-21-vs-5_23,pananichishiih iikam uthaaniv.,,,,,,
karuk-2011-12-21-vs-5_24,iikam ukrii.,,,,,,
karuk-2011-12-21-vs-5_25,hooy pamichishiih?,,,,,,
karuk-2011-12-21-vs-5_26,hooy pamipuuvish?,,,,,,
karuk-2011-12-21-vs-5_27,pananipuuvish uum iinaak.,,,,,,
karuk-2011-12-21-vs-5_28,hooy pamipusihich?,,,,,,
karuk-2011-12-21-vs-5_29,pananipusihich ukviit-hitih.,,,,,,
karuk-2011-12-21-vs-5_30,uum ukviit-hitih.,,,,,,
karuk-2011-12-21-vs-5_31,hooy pamiputiruh?,,,,,,
karuk-2011-12-21-vs-5_32,pananiputiruh uum iikam.,,,,,,
karuk-2011-12-21-vs-5_34,pananichishii uum iikam.,,,,,,
karuk-2011-12-21-vs-5_35,paah uum papusihich ukrii.,,,,,,
karuk-2011-12-21-vs-5_36,panani'apxaan uum paah uthiv.,,,,,,
karuk-2011-12-21-vs-5_37,papusihich uum paahak ukrii.,,,,,,
karuk-2011-12-21-vs-5_38,ahup too thiishrih kaan.,,,,,,
karuk-2011-12-21-vs-5_39,too thiishrih.,,,,,,
karuk-2011-12-21-vs-5_40,pa'ahup uum tu'iinka.,,,,,,
karuk-2011-12-21-vs-5_41,pa'ahup uum aak tu'iinka.,,,,,,
karuk-2011-12-21-vs-5_42,naa panani'apxaan uum nithxuunatih.,,,,,,
karuk-2011-12-21-vs-5_43,nithxuunatih.,,,,,,
karuk-2011-12-21-vs-5_44,faat uthivtakoo pamixvaah?,,,,,,
karuk-2011-12-21-vs-5_45,pananixvaah uum yaamach.,,,,,,
karuk-2011-12-21-vs-5_46,yaamach mixvaah.,,,,,,
karuk-2011-12-21-vs-5_47,faat uthaaniv kaan peempaah?,,,,,,
karuk-2011-12-21-vs-5_48,impaah papuuvish uthaaniv.,,,,,,
karuk-2011-12-21-vs-5_49,faatva kaan ukrii pakaas.,,,,,,
karuk-2011-12-21-vs-5_50,achviiv vaa kaan ukuuntakoo.,,,,,,
karuk-2011-12-21-vs-5_51,achviiv vaa kaan ukrii.,,,,,,
karuk-2011-12-21-vs-5_52,akaay vaa kaan ukrii pa'ikrivkir.,,,,,,
karuk-2011-12-21-vs-5_53,pa'as paathkurihi pa'ishahak.,,,,,,
karuk-2011-12-21-vs-5_54,nishkaakuriheesh.,,,,,,
karuk-2011-12-21-vs-5_55,hooy tivaaram?,,,,,,
karuk-2011-12-21-vs-5_56,ithaantakoo vaa kaan ipahak.,,,,,,
karuk-2011-12-21-vs-5_57,vaa kaan puuvish tharishrih.,,,,,,
karuk-2011-12-21-vs-5_58,apmaan thiishrih.,,,,,,
karuk-2011-12-21-vs-5_59,pachishiih iinaak voonfuruk.,,,,,,
karuk-2011-12-21-vs-5_60,vaa kaan ip nikveeshrihat peekrivraamak.,,,,,,
karuk-2011-12-21-vs-5_61,pa'ikxurikar iyuunkuriheesh pay'ook.,,,,,,
karuk-2011-12-21-vs-5_62,teexuriha hum?,,,,,,
karuk-2011-12-21-vs-5_63,iim karu teexuriha.,,,,,,
karuk-2011-12-21-vs-6_01,pa'avansa panamniik ukrii.,,,,,,
karuk-2011-12-21-vs-6_02,ip nimahat pa'avansa.,,,,,,
karuk-2011-12-21-vs-6_03,pa'avansa ip nimahat Orleans ukrii.,,,,,,
karuk-2011-12-21-vs-6_04,pa'avansa Orleans ukrii iin ip namahat.,,,,,,
karuk-2011-12-21-vs-6_05,pa'avansa Orleans ukrii ip iin namahat.,,,,,,
karuk-2011-12-21-vs-6_06,pa'avansa iin neemusti Orleans aramsiiprintih.,,,,,,
karuk-2011-12-21-vs-6_07,pa'avansa Orleans aramsiiprinti iim iin neemustih.,,,,,,
karuk-2011-12-21-vs-6_08,pa'avansa too kyivishrih.,,,,,,
karuk-2011-12-21-vs-6_09,pa'avansa paOrleans aramsiiprinti ukyivishrih.,,,,,,
karuk-2011-12-21-vs-6_10,vaa pa'avansa nipitaptih.,,,,,,
karuk-2011-12-21-vs-6_11,vaa nipitapti pa'avansa panamniik aramsiiprintih.,,,,,,
karuk-2011-12-21-vs-6_12,vaa ip nichuphuunishti pa'avansa.,,,,,,
karuk-2011-12-21-vs-6_13,nichuphuunish pa'avansa paOrleans ukrii.,,,,,,
karuk-2011-12-21-vs-6_14,pa'avansa iin nipitaptih.,,,,,,
karuk-2011-12-21-vs-6_15,yupsitanich too xrara.,,,,,,
karuk-2011-12-21-vs-6_16,naa ta neexrara.,,,,,,
karuk-2011-12-21-vs-6_17,naa puneexraratihara.,,,,,,
karuk-2011-12-21-vs-6_18,payupsitanich puxraratih.,,,,,,
karuk-2011-12-21-vs-6_19,xayfaat ixraratih.,,,,,,
karuk-2011-12-21-vs-6_20,xayfaat ixrara.,,,,,,
karuk-2011-12-21-vs-6_21,naa nixrareesh.,,,,,,
karuk-2011-12-21-vs-6_22,xayfaat ikshah.,,,,,,
karuk-2011-12-21-vs-6_23,naa nikshaatih.,,,,,,
karuk-2011-12-21-vs-6_24,naa ta nikshah.,,,,,,
karuk-2011-12-21-vs-6_25,ta kunikyamiichvunaa.,,,,,,
karuk-2011-12-21-vs-7_01,vaa kaan papaah iikam ipit.,,,,,,
karuk-2011-12-21-vs-7_02,vaa kaan ipit pachiipich ukrii.,,,,,,
karuk-2011-12-21-vs-7_03,ipit iikam uum pa'achkuun ukrii.,,,,,,
karuk-2011-12-21-vs-7_04,ipit ip iikam pa'achnaat ukrii.,,,,,,
karuk-2011-12-21-vs-7_05,ipit ip iikam ukrii pa'achnaat.,,,,,,
karuk-2011-12-21-vs-7_06,ipit ip iikam pa'akviish ukreet.,,,,,,
karuk-2011-12-21-vs-7_07,ipit ip iikam pa'akviish ukrii.,,,,,,
karuk-2011-12-21-vs-7_08,chuupha ti'itapti hum pa'ararahih?,,,,,,
karuk-2011-12-21-vs-7_09,ta neekshupih.,,,,,,
karuk-2011-12-21-vs-7_10,uxus xaatik ni'itap.,,,,,,
karuk-2011-12-21-vs-7_11,pay papuuvish upsheek.,,,,,,
karuk-2011-12-21-vs-7_12,pay papuuvish vura uum upsheek.,,,,,,
karuk-2011-12-21-vs-7_13,ipit pananipuuvish upsheek.,,,,,,
karuk-2011-12-21-vs-7_14,ipit papuuvish upsheek.,,,,,,
karuk-2011-12-21-vs-7_15,panaa neepsheekti pay puuvish.,,,,,,
karuk-2011-12-21-vs-7_16,iim teepsheek.,,,,,,
karuk-2011-12-21-vs-7_17,naa karu ta neepsheek.,,,,,,
karuk-2011-12-21-vs-7_18,naa neepsheektih.,,,,,,
karuk-2011-12-21-vs-7_19,naa karu neepsheektih.,,,,,,
karuk-2011-12-21-vs-7_20,too hyiiva.,,,,,,
karuk-2011-12-21-vs-7_21,pi'eep pihneefich vaa kaan ukrii.,,,,,,
karuk-2011-12-21-vs-7_22,akaay vaa kaan ukreenik pi'eep?,,,,,,
karuk-2011-12-21-vs-8_01,ta nitatuyshuru.,,,,,,
karuk-2011-12-21-vs-8_02,nitatuyshureesh.,,,,,,
karuk-2011-12-21-vs-8_03,ta numah.,,,,,,
karuk-2011-12-21-vs-8_04,ta numah iin.,,,,,,
karuk-2011-12-21-vs-8_05,,,,,,,
karuk-2011-12-21-vs-8_06,ta nuthitiv.,,,,,,
karuk-2011-12-21-vs-8_07,iim puta nathitivara.,,,,,,
karuk-2011-12-21-vs-8_08,iim punuthitiimtihara.,,,,,,
karuk-2011-12-21-vs-8_09,iim ta numsakar.,,,,,,
karuk-2011-12-21-vs-8_10,iim puneemshakaantihara.,,,,,,
karuk-2011-12-21-vs-8_11,iim ta nu'afish.,,,,,,
karuk-2011-12-21-vs-8_12,iim punu'afishrihara.,,,,,,
karuk-2011-12-21-vs-8_13,iim nupareesh.,,,,,,
karuk-2011-12-21-vs-8_14,nupareesh.,,,,,,
karuk-2011-12-21-vs-8_15,iim payeem ta nupar.,,,,,,
karuk-2011-12-21-vs-8_16,iim naa punupareeshara.,,,,,,
karuk-2011-12-21-vs-8_17,iim punupareeshara payeem.,,,,,,
karuk-2011-12-21-vs-8_18,naa vura puna'aytihara.,,,,,,
karuk-2011-12-21-vs-8_19,naa vura ni'ayti payeem.,,,,,,
karuk-2011-12-21-vs-8_20,niheeratih.,,,,,,
karuk-2011-12-21-vs-8_21,naa niheeratih.,,,,,,
karuk-2011-12-21-vs-8_22,naa vura itihaan paniheeratih.,,,,,,
karuk-2011-12-21-vs-8_23,naa vura itihaan niheeratih.,,,,,,
karuk-2011-12-21-vs-8_24,naa puneeheeratihara.,,,,,,
karuk-2011-12-21-vs-8_25,naa niheeratih.,,,,,,
karuk-2011-12-21-vs-8_26,naa nikfuyfuuytih.,,,,,,
karuk-2011-12-21-vs-8_27,naa nikfuy.,,,,,,
karuk-2011-12-21-vs-8_28,Andrew too kfuy.,,,,,,
karuk-2011-12-21-vs-8_29,ta nikfuy.,,,,,,
karuk-2011-12-21-vs-8_30,naa ta nikfuy.,,,,,,
karuk-2011-12-21-vs-8_31,naa puneekfuuytihara.,,,,,,
karuk-2011-12-21-vs-8_32,naa nipakuriihvutih.,,,,,,
karuk-2011-12-21-vs-8_33,naa punapakuriihvutihara.,,,,,,
karuk-2011-12-21-vs-8_34,iim ta numah.,,,,,,
karuk-2011-12-21-vs-8_35,ta nimah.,,,,,,
karuk-2011-12-21-vs-8_36,punamaahtihara.,,,,,,
karuk-2011-12-21-vs-8_37,punamaahtih.,,,,,,
karuk-2011-12-21-vs-8_38,naa vura punapakuriihvutihara.,,,,,,
karuk-2011-12-21-vs-8_39,punapakuriihvutihara.,,,,,,
karuk-2011-12-21-vs-8_40,pananipusihich ni'apimtih.,,,,,,
karuk-2011-12-21-vs-8_41,ni'apimtih.,,,,,,
karuk-2011-12-21-vs-8_42,pananipusihich ta ni'apiv.,,,,,,
karuk-2011-12-21-vs-8_43,puna'apimtihara.,,,,,,
karuk-2011-12-21-vs-8_44,ta neemchak.,,,,,,
karuk-2011-12-21-vs-8_45,iim karu imchakvaan?,,,,,,
karuk-2011-12-21-vs-8_46,too mchak.,,,,,,
karuk-2011-12-21-vs-8_47,iim tee mchak.,,,,,,
karuk-2011-12-21-vs-8_48,nikshaahtih.,,,,,,
karuk-2011-12-21-vs-8_49,naa nikshaahti.,,,,,,
karuk-2011-12-21-vs-8_50,nipikshaahtih.,,,,,,
karuk-2011-12-21-vs-8_51,naa nikshaahti vaa.,,,,,,
karuk-2011-12-21-vs-8_52,faat ta nikuupha?,,,,,,
karuk-2011-12-21-vs-8_53,iim teekshah.,,,,,,
karuk-2011-12-21-vs-8_54,iim tee takav paxut.,,,,,,
karuk-2011-12-21-vs-8_55,ta nitakav.,,,,,,
karuk-2011-12-21-vs-8_56,iim tee takav pamifyiiv.,,,,,,
karuk-2011-12-21-vs-8_57,ipit iikam pahaknah ook kaan ukrii.,,,,,,
karuk-2011-12-21-vs-8_58,ook kaan iikam ukrii pahaknah.,,,,,,
karuk-2011-12-21-vs-8_59,iikam ukrii.,,,,,,
karuk-2011-12-21-vs-8_60,pachinim pa'ipita iinaak uvoonfurukatih.,,,,,,
karuk-2011-12-21-vs-8_61,iikam pa'ipit nimah mi'aramah.,,,,,,
karuk-2011-12-21-vs-8_62,iikam vura taay pa'eeth.,,,,,,
karuk-2011-12-21-vs-8_63,ipit pa'eeth iikam kaan ukrii.,,,,,,
karuk-2011-12-21-vs-8_64,ipit pa'eeth iikam ukrii.,,,,,,
karuk-2011-08-16-vs-2_01,hooy ithiishriheesh?,,,,,,
karuk-2011-08-16-vs-2_02,hooy itharishriheesh?,,,,,,
karuk-2011-08-16-vs-2_03,hooy iiyeeshriheesh?,,,,,,
karuk-2011-08-16-vs-2_04,xayfaat aapun isharishriheesh.,,,,,,
karuk-2011-08-16-vs-2_05,ta nipyukukuh pananiyukukuh.,,,,,,
karuk-2011-08-16-vs-2_06,ipyukukuh pamiyukukuh.,,,,,,
karuk-2011-08-16-vs-2_07,ta nipyukukuhsuru.,,,,,,
karuk-2011-08-16-vs-2_08,ipyukukuhsuru miyukukuh.,,,,,,
karuk-2011-08-16-vs-2_09,koovura pasasip.,,,,,,
karuk-2011-08-16-vs-2_10,ni'ahootih.,,,,,,
karuk-2011-08-16-vs-2_11,paykuuk mukrivraam ta ni'ahoo.,,,,,,
karuk-2011-08-16-vs-2_12,mikrivraam ni'uumeesh.,,,,,,
karuk-2011-08-16-vs-2_13,nikviripeesh pamikrivraam.,,,,,,
karuk-2011-08-16-vs-2_14,nikpuuhmeesh pamikrivraam.,,,,,,
karuk-2011-08-16-vs-2_15,naa vura payeem nikpuhuthunavish.,,,,,,
karuk-2011-08-16-vs-2_16,naa pananikrivraam ni'aramsiiprimtih.,,,,,,
karuk-2011-08-16-vs-2_17,iim hooy i'aramsiiprimtih?,,,,,,
karuk-2011-08-16-vs-2_18,hooy tu'aramsiip?,,,,,,
karuk-2011-08-16-vs-2_19,hooy ta kun'aramsiipriv?,,,,,,
karuk-2011-08-16-vs-2_20,piimich ni'uumeesh kahtishraam.,,,,,,
karuk-2011-08-16-vs-2_21,naa kahtishraam mupiimich kaan panikrii.,,,,,,
karuk-2011-08-16-vs-2_22,hooy iim peekrii?,,,,,,
karuk-2011-08-16-vs-3_01,iinaak tuvoonfuruk.,,,,,,
karuk-2011-08-16-vs-3_02,iinaak tukviripma.,,,,,,
karuk-2011-08-16-vs-3_03,iinaak too kxipma pa'achviiv.,,,,,,
karuk-2011-08-16-vs-3_04,xayfaat too 'ikxipma iinaak.,,,,,,
karuk-2011-08-16-vs-3_05,naa iinaak nikxipmeesh mikrivraam.,,,,,,
karuk-2011-08-16-vs-3_06,vaa ip kaan ukyamiichvutih xas too kxip.,,,,,,
karuk-2011-08-16-vs-3_07,pa'achviiv too ikxiipship.,,,,,,
karuk-2011-08-16-vs-3_08,pa'aama too kpuuhsip.,,,,,,
karuk-2011-08-16-vs-3_09,pa'avansa maruk too kfukuraa.,,,,,,
karuk-2011-08-16-vs-3_11,naa karu maruk ta nikfukuraa.,,,,,,
karuk-2011-08-16-vs-3_12,xayfaat maruk ivaaram.,,,,,,
karuk-2011-08-16-vs-3_13,xayfaat saruk i'arihfak.,,,,,,
karuk-2011-08-16-vs-3_14,naa karu saruk ni'arihfakeesh.,,,,,,
karuk-2011-08-16-vs-3_15,akaay saruk tu'arihfak?,,,,,,
karuk-2011-08-16-vs-3_16,akaay saruk too arihfakuheen ipit?,,,,,,
karuk-2011-08-16-vs-3_17,pa'achviiv maruk too kxipuraa ipit.,,,,,,
karuk-2011-08-16-vs-3_18,pa'as ta nitharishrih xas pahup'asip.,,,,,,
karuk-2011-08-16-vs-3_19,pa'apsuun kaan puuvish ukrii.,,,,,,
karuk-2011-08-16-vs-3_20,nipaatheesh pa'as.,,,,,,
karuk-2011-08-16-vs-3_21,pa'as kaan nipaathkuriheesh.,,,,,,
karuk-2011-08-16-vs-3_22,papuuvish vaa kaan pa'as nipaathkuriheesh.,,,,,,
karuk-2011-08-16-vs-3_23,vaa kaan uthaantakoo ahup'asipak.,,,,,,
karuk-2011-08-16-vs-3_24,pa'as uum ahup'asipak surukam.,,,,,,
karuk-2011-08-16-vs-3_25,vaa kaan pa'apsuun ukrii asip surukam.,,,,,,
karuk-2011-08-16-vs-3_26,xayfaat vaa kaan itharishrih ahup'asip surukam.,,,,,,
karuk-2010-07-23-ag-vs-1_01,achviiv ta nimah.,,,,,,
karuk-2010-07-23-ag-vs-1_02,achviiv tee mah.,,,,,,
karuk-2010-07-23-ag-vs-1_03,achviiv ta numah.,,,,,,
karuk-2010-07-23-ag-vs-1_05,huuka too kxipma pa'achviiv?,,,,,,
karuk-2010-07-23-ag-vs-1_06,tee mah hum pa'achviiv?,,,,,,
karuk-2010-07-23-ag-vs-1_07,imuusti pa'achviiv.,,,,,,
karuk-2010-07-23-ag-vs-1_08,yaxa pa'achviiv!,,,,,,
karuk-2010-07-23-ag-vs-1_09,ta nimah pavirusur.,,,,,,
karuk-2010-07-23-ag-vs-1_10,pavirusur ip nimah.,,,,,,
karuk-2010-07-23-ag-vs-1_11,pavirusura ishkih too kviip.,,,,,,
karuk-2010-07-23-ag-vs-1_12,pavirusur ipit ishkih ukviip.,,,,,,
karuk-2010-07-23-ag-vs-1_13,tee mah hum papuufich?,,,,,,
karuk-2010-07-23-ag-vs-1_14,chak'iimich papuufich tu'ahoo.,,,,,,
karuk-2010-07-23-ag-vs-1_15,papuufich tukuniihka.,,,,,,
karuk-2010-07-23-ag-vs-1_16,imaan papuufich ukuniihkeesh.,,,,,,
karuk-2010-07-23-ag-vs-1_17,imaan papuufich nikuniihkeesh.,,,,,,
karuk-2010-07-23-ag-vs-1_18,yaxa pa'akviish!,,,,,,
karuk-2010-07-23-ag-vs-1_19,naa vura imxathakeem.,,,,,,
karuk-2010-07-23-ag-vs-1_20,yaxa pa'akvaat!,,,,,,
karuk-2010-07-23-ag-vs-1_21,yaxa paykuuk!,,,,,,
karuk-2010-07-23-ag-vs-1_22,yaxa pay!,,,,,,
karuk-2010-07-23-ag-vs-1_23,vaa yav panikpuuhtih.,,,,,,
karuk-2010-07-23-ag-vs-1_24,faat uum pamusmus u'aamtih?,,,,,,
karuk-2010-07-23-ag-vs-1_25,pamusmus uum pirish u'aamtih.,,,,,,
karuk-2010-07-23-ag-vs-2_01,panakish uum axvithirar.,,,,,,
karuk-2010-07-23-ag-vs-2_02,hooy panakish?,,,,,,
karuk-2010-07-23-ag-vs-2_03,hooy pananinakish?,,,,,,
karuk-2010-07-23-ag-vs-2_04,panakish nithiinatih.,,,,,,
karuk-2010-07-23-ag-vs-2_05,chishiih nithiinatih.,,,,,,
karuk-2010-07-23-ag-vs-3_01,faat ikyaatih?,,,,,,
karuk-2010-07-23-ag-vs-3_02,faat teekyaatih?,,,,,,
karuk-2010-07-23-ag-vs-3_03,faat ikyaveesh?,,,,,,
karuk-2010-07-23-ag-vs-3_04,faat teekyav?,,,,,,
karuk-2010-07-23-ag-vs-3_05,faat ikupaveenatih?,,,,,,
karuk-2010-07-23-ag-vs-3_06,faat kuma'av?,,,,,,
karuk-2010-07-23-ag-vs-3_07,faat kuma'av peemnisheesh?,,,,,,
karuk-2010-07-23-ag-vs-3_08,faat kumeethyur peekvareesh?,,,,,,
karuk-2010-07-23-ag-vs-3_09,faat kumapaah peekyaveesh?,,,,,,
karuk-2010-07-23-ag-vs-3_10,faat kuma'avah peevishtaantih?,,,,,,
karuk-2010-07-23-ag-vs-3_11,aama ni'aveesh.,,,,,,
karuk-2010-07-23-ag-vs-3_12,huut uum pamipaah ikyaatih?,,,,,,
karuk-2010-07-23-ag-vs-3_13,pa'aama huut imniishtih?,,,,,,
karuk-2010-07-23-ag-vs-3_14,papusihich ipahak a' ukrii.,,,,,,
karuk-2010-07-23-ag-vs-3_15,pakihara puuvish thaankurih.,,,,,,
karuk-2010-07-23-ag-vs-4_01,hooy papusihich?,,,,,,
karuk-2010-07-23-ag-vs-4_02,papusihich hum ithiinatih?,,,,,,
karuk-2010-07-23-ag-vs-4_03,haa papusihich nithiinatih.,,,,,,
karuk-2010-07-23-ag-vs-4_04,papusihich um tee mah?,,,,,,
karuk-2010-07-23-ag-vs-4_05,haa ta nimah papusihich.,,,,,,
karuk-2010-07-23-ag-vs-4_06,puuhara punamaahtihara papusihich.,,,,,,
