audio,transcription,transcription_mfa,speaker
karuk-2010-10-25-sd-vs-2_05,ithyur nikvaareesh.,ithyur nikvaareesh,VS
karuk-2010-10-25-sd-vs-2_06,nivaarameesh Medford pathyuru chimi nikvaareesh.,nivaarameesh Medford pathyuru chimi nikvaareesh,SD
karuk-2010-10-25-sd-vs-2_07,nimuustiheesh pathyuru karu.,nimuustiheesh pathyuru karu,SD
karuk-2010-10-25-sd-vs-2_08,"Medford nivaarameesh, ithyuru nikvaareesh.",Medford nivaarameesh ithyuru nikvaareesh,VS
karuk-2010-10-25-sd-vs-2_09,nithyurutih pananithyur.,nithyurutih pananithyur,SD
karuk-2010-10-25-sd-vs-2_10,nithyuritih peethyur.,nithyuritih peethyur,VS
karuk-2010-10-25-sd-vs-2_11,"Medford nivaarameesh, vaa kaan pananikustaan ukrii.",Medford nivaarameesh vaa kaan pananikustaan ukrii,VS
karuk-2010-10-25-sd-vs-2_12,pachishiih too pvoonfuruk.,pachishiih too pvoonfuruk,VS
karuk-2010-10-25-sd-vs-2_13,too xuriha.,too xuriha,VS
karuk-2010-10-25-sd-vs-2_14,too xuriha.,too xuriha,SD
karuk-2010-10-25-sd-vs-2_15,uum too xuriha,uum too xuriha,VS
karuk-2010-10-25-sd-vs-2_16,puufich iikam.,puufich iikam,SD
karuk-2010-10-25-sd-vs-2_17,yaxa papuufich iikam.,yaxa papuufich iikam,SD
karuk-2010-10-25-sd-vs-2_18,papuufich iinaak tuvoonfuruk.,papuufich iinaak tuvoonfuruk,SD
karuk-2010-10-25-sd-vs-2_19,papuufich iinaak tuvoonfuruk.,papuufich iinaak tuvoonfuruk,VS
karuk-2010-10-25-sd-vs-2_20,choora kumaam!,choora kumaam,SD
karuk-2010-10-25-sd-vs-2_21,kumaam nuvyiiship.,kumaam nuvyiiship,VS
karuk-2010-10-25-sd-vs-2_22,ipit kumaam nuvyiishipriv.,ipit kumaam nuvyiishipriv,VS
karuk-2010-10-25-sd-vs-2_23,kumaam ta ni'arihishrih.,kumaam ta niqarihishrih,SD
karuk-2010-10-25-sd-vs-2_24,kusaam panunu'uhthaam.,kusaam panunuquhthaam,SD
karuk-2010-10-25-sd-vs-2_25,kaam uum Chester pa'ukriivtih.,kaam uum Chester paqukriivtih,SD
karuk-2010-10-25-sd-vs-2_26,kaam papuufich ta nimah.,kaam papuufich ta nimah,VS
karuk-2010-10-25-sd-vs-2_27,karuk ta nivaaram karuk va'araas ta nimuustiheesh.,karuk ta nivaaram karuk vaqaraas ta nimuustiheesh,SD
karuk-2010-10-25-sd-vs-2_28,karuk va'araar nimuustiheesh.,karuk vaqaraar nimuustiheesh,SD
karuk-2010-10-25-sd-vs-2_29,ta nipvaaram.,ta nipvaaram,SD
karuk-2010-10-25-sd-vs-2_30,nivaarameesh.,nivaarameesh,SD
karuk-2010-10-25-sd-vs-2_32,yuum ta nimah papuufich.,yuum ta nimah papuufich,SD
karuk-2010-10-25-sd-vs-2_33,yuum puufich ta nimah.,yuum puufich ta nimah,VS
karuk-2010-10-25-sd-vs-2_34,ithyaruk papuufich ta nimah.,ithyaruk papuufich ta nimah,SD
karuk-2010-10-25-sd-vs-2_35,ithyaruk ta nimah papuufich.,ithyaruk ta nimah papuufich,VS
karuk-2010-10-25-sd-vs-2_36,pani'ahootih uum kunish nimahat papuufich pay'ook ukriivtih.,paniqahootih uum kunish nimahat papuufich payqook ukriivtih,SD
karuk-2010-10-25-sd-vs-2_37,kunish ukviit-hitih pay'ook.,kunish ukviithitih payqook,SD
karuk-2010-10-25-sd-vs-2_38,pani'ahootih pay'ook nimahat papuufich ukviit-hitih.,paniqahootih payqook nimahat papuufich ukviithitih,SD
karuk-2010-10-25-sd-vs-2_39,pani'ahootih papuufich uum pamu'asimnaam ta nimah.,paniqahootih papuufich uum pamuqasimnaam ta nimah,SD
karuk-2010-09-13-ag-vs-1_01,,,
karuk-2010-09-13-ag-vs-1_02,vishtaantih.,vishtaantih,VS
karuk-2010-09-13-ag-vs-1_03,pay um ivishtaantih?,pay um ivishtaantih,VS
karuk-2010-09-13-ag-vs-1_04,iim yaamach.,iim yaamach,VS
karuk-2010-09-13-ag-vs-1_05,ook naa!,ook naa,VS
karuk-2010-09-13-ag-vs-1_05a,vaa mu'akah.,vaa muqakah,VS
karuk-2010-09-13-ag-vs-1_06,hooy pami'aramah?,hooy pamiqaramah,VS
karuk-2010-09-13-ag-vs-1_07,hooy pamitaat?,hooy pamitaat,VS
karuk-2010-09-13-ag-vs-2_01,huut uthvuuytih?,huut uthvuuytih,VS
karuk-2010-09-13-ag-vs-2_02,huut uthvuuyti pamihrooha?,huut uthvuuyti pamihrooha,VS
karuk-2010-09-13-ag-vs-2_03,muthvuy uum Leslie.,muthvuy uum Leslie,VS
karuk-2010-09-13-ag-vs-2_04,nanithvuy uum Andrew.,nanithvuy uum Andrew,VS
karuk-2010-09-13-ag-vs-2_05,pamithvuy uum Vina.,pamithvuy uum Vina,VS
karuk-2010-09-13-ag-vs-2_06,panani'akah vura tupihniichha.,pananiqakah vura tupihniichha,VS
karuk-2010-09-13-ag-vs-2_07,panani'akah vura uum tupihniichha.,pananiqakah vura uum tupihniichha,VS
karuk-2010-09-13-ag-vs-2_08,pananitaat karu tukeevniikichha.,pananitaat karu tukeevniikichha,VS
karuk-2011-01-29-vs-1_01,xuun ip ni'av.,xuun ip niqav,VS
karuk-2011-01-29-vs-1_02,xuun ip ni'avat.,xuun ip niqavat,VS
karuk-2011-01-29-vs-1_03,faat i'avaheen?,faat iqavaheen,VS
karuk-2011-01-29-vs-1_04,faat i'aveesh?,faat iqaveesh,VS
karuk-2011-01-29-vs-1_05,faat i'aamti payeem?,faat iqaamti payeem,VS
karuk-2011-01-29-vs-1_06,faat pee'aamtih?,faat peeqaamtih,VS
karuk-2011-01-29-vs-1_07,akaay u'avaheen?,akaay uqavaheen,VS
karuk-2011-01-29-vs-1_08,harivari i'avaheen paputiruh?,harivari iqavaheen paputiruh,VS
karuk-2011-01-29-vs-1_09,vaa hum i'avaheen?,vaa hum iqavaheen,VS
karuk-2011-01-29-vs-1_10,paputiruh hum i'avaheen?,paputiruh hum iqavaheen,VS
karuk-2011-01-29-vs-1_11,vaa hum pee'avaheen?,vaa hum peeqavaheen,VS
karuk-2011-01-29-vs-1_12,vaa hum pee'avaheen paputiruh?,vaa hum peeqavaheen paputiruh,VS
karuk-2011-01-29-vs-1_13,paputiruh hum i'avaheen?,paputiruh hum iqavaheen,VS
karuk-2011-01-29-vs-1_14,naa nimuusti vaa.,naa nimuusti vaa,VS
karuk-2011-01-29-vs-1_15,faat imuustih?,faat imuustih,VS
karuk-2011-01-29-vs-1_16,faat imuusti iim?,faat imuusti iim,VS
karuk-2011-01-29-vs-1_17,vaa hum peemuustih?,vaa hum peemuustih,VS
karuk-2011-01-29-vs-1_18,vaa hum imuustih?,vaa hum imuustih,VS
karuk-2011-01-29-vs-1_19,vaa hum peemuusti iim?,vaa hum peemuusti iim,VS
karuk-2011-01-29-vs-1_20,papusihich imuusti hum?,papusihich imuusti hum,VS
karuk-2011-01-29-vs-1_21,papusihich imuusti iim.,papusihich imuusti iim,VS
karuk-2011-01-29-vs-1_22,vaa pananipusihich utapkuuputih.,vaa pananipusihich utapkuuputih,VS
karuk-2011-12-21-vs-1_01,ta neekvurishrih.,ta neekvurishrih,VS
karuk-2011-12-21-vs-1_02,puxich ta neekvurishrih.,puxich ta neekvurishrih,VS
karuk-2011-12-21-vs-1_03,ta neekvurishrih panipakuriihvutih.,ta neekvurishrih panipakuriihvutih,VS
karuk-2011-12-21-vs-1_04,ta neekvurishrih puxich panipakuriihvutih.,ta neekvurishrih puxich panipakuriihvutih,VS
karuk-2011-12-21-vs-1_05,puxich ip neekvurishrihat mah’iit payeem uum yav nipmahoonkoonatih.,puxich ip neekvurishrihat mahiit payeem uum yav nipmahoonkoonatih,VS
karuk-2011-12-21-vs-1_06,mah’iit ta neep neekvurishrihat.,mahiit ta neep neekvurishrihat,VS
karuk-2011-12-21-vs-1_07,payeem uum yav nipmahoonkoonatih.,payeem uum yav nipmahoonkoonatih,VS
karuk-2011-12-21-vs-2_01,ta neekvurish.,ta neekvurish,VS
karuk-2011-12-21-vs-2_02,ta nikvurishrih.,ta nikvurishrih,VS
karuk-2011-12-21-vs-2_03,puyav nipmahoonkoonatihara.,puyav nipmahoonkoonatihara,VS
karuk-2011-12-21-vs-2_04,huut ta ni'iin?,huut ta niqiin,VS
karuk-2011-12-21-vs-2_05,huut ti'iin?,huut tiqiin,VS
karuk-2011-12-21-vs-2_06,huut uum tu'iin?,huut uum tuqiin,VS
karuk-2011-12-21-vs-2_07,huut papusihich tu'iin?,huut papusihich tuqiin,VS
karuk-2011-12-21-vs-2_08,puyav paneepmahoonkoonatihara.,puyav paneepmahoonkoonatihara,VS
karuk-2011-12-21-vs-2_09,ta naxuriha naa.,ta naxuriha naa,VS
karuk-2011-12-21-vs-2_10,naa ta naxuriha.,naa ta naxuriha,VS
karuk-2011-12-21-vs-2_11,naa vura ta naxuriha puxich.,naa vura ta naxuriha puxich,VS
karuk-2011-12-21-vs-2_12,naa vura punaxurihitihara.,naa vura punaxurihitihara,VS
karuk-2011-12-21-vs-2_13,mah’iit ip naxurihitihat payeem uum punaxurihitihara.,mahiit ip naxurihitihat payeem uum punaxurihitihara,VS
karuk-2011-12-21-vs-2_14,mah’iit naxurihitihat.,mahiit naxurihitihat,VS
karuk-2011-12-21-vs-2_15,mah’iit ip naxurihitihat.,mahiit ip naxurihitihat,VS
karuk-2011-12-21-vs-2_16,payeem uum punaxurihitihara.,payeem uum punaxurihitihara,VS
karuk-2011-12-21-vs-3_01,kaarim nipmahoonkoonatih.,kaarim nipmahoonkoonatih,VS
karuk-2011-12-21-vs-3_02,kaarim nipmahoonkoonatih naa.,kaarim nipmahoonkoonatih naa,VS
karuk-2011-12-21-vs-3_03,naa vura puxich kaarim ta nipmahoonkoon.,naa vura puxich kaarim ta nipmahoonkoon,VS
karuk-2011-12-21-vs-3_04,pusihich ip iikam uvaaram.,pusihich ip iikam uvaaram,VS
karuk-2011-12-21-vs-3_05,papusihich iikam tu'uum.,papusihich iikam tuquum,VS
karuk-2011-12-21-vs-3_06,puyav nipmahoonkoonatih papusihich iikam tuvaaram.,puyav nipmahoonkoonatih papusihich iikam tuvaaram,VS
karuk-2011-12-21-vs-3_07,naa vura nayikihitih.,naa vura nayikihitih,VS
karuk-2011-12-21-vs-3_08,iim hum iyikihitih?,iim hum iyikihitih,VS
karuk-2011-12-21-vs-3_09,naa nayikihitih.,naa nayikihitih,VS
karuk-2011-12-21-vs-3_10,naa ta na'aathva.,naa ta naqaathva,VS
karuk-2011-12-21-vs-3_11,iim tee'aathva?,iim teeqaathva,VS
karuk-2011-12-21-vs-3_12,ta ni'ay pa'apxantinihich.,ta niqay paqapxantinihich,VS
karuk-2011-12-21-vs-3_13,vúra puxich ta neexviipha.,vu1ra puxich ta neexviipha,VS
karuk-2011-12-21-vs-3_14,iim teexviipha?,iim teexviipha,VS
karuk-2011-12-21-vs-3_15,vúra puxich ta nafurathfip.,vu1ra puxich ta nafurathfip,VS
karuk-2011-12-21-vs-3_16,ta nafurathfip.,ta nafurathfip,VS
karuk-2011-12-21-vs-3_17,panani'ifunih too fiipha.,pananiqifunih too fiipha,VS
karuk-2011-12-21-vs-3_18,papusihich huukava tu'uum.,papusihich huukava tuquum,VS
karuk-2011-12-21-vs-3_19,naa athiik.,naa athiik,VS
karuk-2011-12-21-vs-3_20,uum athiik.,uum athiik,VS
karuk-2011-12-21-vs-3_21,uum puxich ta neemchax.,uum puxich ta neemchax,VS
karuk-2011-12-21-vs-3_22,pa'aas athiik.,paqaas athiik,VS
karuk-2011-12-21-vs-3_23,iikam uum athiik.,iikam uum athiik,VS
karuk-2011-12-21-vs-3_24,naa vura uum ishriiv.,naa vura uum ishriiv,VS
karuk-2011-12-21-vs-3_25,ta na'axaska.,ta naqaxaska,VS
karuk-2011-12-21-vs-3_26,uum tu'axaska.,uum tuqaxaska,VS
karuk-2011-12-21-vs-3_27,Andrew uum tu'axaska.,Andrew uum tuqaxaska,VS
karuk-2011-12-21-vs-3_28,ta ni'aapunma.,ta niqaapunma,VS
karuk-2011-12-21-vs-3_29,naa ni'aapunmutih.,naa niqaapunmutih,VS
karuk-2011-12-21-vs-3_30,naa ta ni'itap.,naa ta niqitap,VS
karuk-2011-12-21-vs-3_31,naa vura puna'aapunmutihara.,naa vura punaqaapunmutihara,VS
karuk-2011-12-21-vs-3_32,iim ta nupitap.,iim ta nupitap,VS
karuk-2011-12-21-vs-3_33,iim punupitaptihara.,iim punupitaptihara,VS
karuk-2011-12-21-vs-3_34,uum puxich ishaha ta neexra.,uum puxich ishaha ta neexra,VS
karuk-2011-12-21-vs-3_35,iim ishaha teexra?,iim ishaha teexra,VS
karuk-2011-12-21-vs-3_36,naa puneexratihara.,naa puneexratihara,VS
karuk-2011-12-21-vs-3_37,ta neefchak.,ta neefchak,VS
karuk-2011-12-21-vs-3_38,puuhara naa puneefchaktihara.,puuhara naa puneefchaktihara,VS
karuk-2011-12-21-vs-4_01,ipit ip iikam puuvish uthaaniv.,ipit ip iikam puuvish uthaaniv,VS
karuk-2011-12-21-vs-4_02,ipit ip puuvish iikam uthaaniv.,ipit ip puuvish iikam uthaaniv,VS
karuk-2011-12-21-vs-4_03,ipit papaah iikam.,ipit papaah iikam,VS
karuk-2011-12-21-vs-4_04,ipit iikam paah uthaaniv.,ipit iikam paah uthaaniv,VS
karuk-2011-12-21-vs-4_05,ipit paweasel iikam ukrii.,ipit paweasel iikam ukrii,VS
karuk-2011-12-21-vs-4_06,ipit pa'aanxus iikam ukrii.,ipit paqaanxus iikam ukrii,VS
karuk-2011-12-21-vs-4_07,naa pakaruk uuhyan nichuuphitih.,naa pakaruk uuhyan nichuuphitih,VS
karuk-2011-12-21-vs-4_08,naa pakaruk uuhyan ni'itaptih.,naa pakaruk uuhyan niqitaptih,VS
karuk-2011-12-21-vs-4_09,faatva iikam ukrii.,faatva iikam ukrii,VS
karuk-2011-12-21-vs-4_10,ukrii.,ukrii,VS
karuk-2011-12-21-vs-4_11,faatva iikam ta nithitiv.,faatva iikam ta nithitiv,VS
karuk-2011-12-21-vs-4_12,ipit iikam faatva ukrii.,ipit iikam faatva ukrii,VS
karuk-2011-12-21-vs-4_13,iikam pa'ipaha.,iikam paqipaha,VS
karuk-2011-12-21-vs-4_14,iikam papaah.,iikam papaah,VS
karuk-2011-12-21-vs-4_15,faat iikam?,faat iikam,VS
karuk-2011-12-21-vs-4_16,faat iikam tee mah?,faat iikam tee mah,VS
karuk-2011-12-21-vs-4_17,faatva ta nimah.,faatva ta nimah,VS
karuk-2011-12-21-vs-4_18,faatva ta nimaahti iikam.,faatva ta nimaahti iikam,VS
karuk-2011-12-21-vs-4_19,muxvaah uum pamu'aasravar.,muxvaah uum pamuqaasravar,VS
karuk-2011-12-21-vs-4_20,mu'aasravar too hruv.,muqaasravar too hruv,VS
karuk-2011-12-21-vs-4_21,too hruv.,too hruv,VS
karuk-2011-12-21-vs-4_22,ipit pamu'asravara uhruuvtih.,ipit pamuqasravara uhruuvtih,VS
karuk-2011-12-21-vs-5_01,hooy pamipoor?,hooy pamipoor,VS
karuk-2011-12-21-vs-5_02,hooy pami'aan?,hooy pamiqaan,VS
karuk-2011-12-21-vs-5_03,pamu'aan uum iikam.,pamuqaan uum iikam,VS
karuk-2011-12-21-vs-5_04,hooy uum pamu'ahup?,hooy uum pamuqahup,VS
karuk-2011-12-21-vs-5_05,pamu'akah uum iikam.,pamuqakah uum iikam,VS
karuk-2011-12-21-vs-5_06,xayfaat i'ish panani'ishaha.,xayfaat iqish pananiqishaha,VS
karuk-2011-12-21-vs-5_07,uum muchviiv?,uum muchviiv,VS
karuk-2011-12-21-vs-5_08,uum vaa muchviiv?,uum vaa muchviiv,VS
karuk-2011-12-21-vs-5_09,uum vaa mu'achviiv?,uum vaa muqachviiv,VS
karuk-2011-12-21-vs-5_10,pa'akvaat iinaak tu'uum.,paqakvaat iinaak tuquum,VS
karuk-2011-12-21-vs-5_11,pusihich'avah tu'av pa'akvaat.,pusihichqavah tuqav paqakvaat,VS
karuk-2011-12-21-vs-5_12,pa'akvaat iinaak tu'uum xas vaa papusihich'avah tu'av.,paqakvaat iinaak tuquum xas vaa papusihichqavah tuqav,VS
karuk-2011-12-21-vs-5_13,tu'av.,tuqav,VS
karuk-2011-12-21-vs-5_14,xayfaat i'afish pamu'apsuun.,xayfaat iqafish pamuqapsuun,VS
karuk-2011-12-21-vs-5_15,ni'aayti pamu'apsuun.,niqaayti pamuqapsuun,VS
karuk-2011-12-21-vs-5_16,ni'aaytih.,niqaaytih,VS
karuk-2011-12-21-vs-5_17,panani'ahaknah tee mah hum?,pananiqahaknah tee mah hum,VS
karuk-2011-12-21-vs-5_18,Clare uum tu'ay pa'ahaknak.,Clare uum tuqay paqahaknak,VS
karuk-2011-12-21-vs-5_19,hooy pananichishiih?,hooy pananichishiih,VS
karuk-2011-12-21-vs-5_20,ipit ip iikam pachishiih ukrii.,ipit ip iikam pachishiih ukrii,VS
karuk-2011-12-21-vs-5_21,chishiih iikam ukrii.,chishiih iikam ukrii,VS
karuk-2011-12-21-vs-5_22,chishiih iikam uthaaniv.,chishiih iikam uthaaniv,VS
karuk-2011-12-21-vs-5_23,pananichishiih iikam uthaaniv.,pananichishiih iikam uthaaniv,VS
karuk-2011-12-21-vs-5_24,iikam ukrii.,iikam ukrii,VS
karuk-2011-12-21-vs-5_25,hooy pamichishiih?,hooy pamichishiih,VS
karuk-2011-12-21-vs-5_26,hooy pamipuuvish?,hooy pamipuuvish,VS
karuk-2011-12-21-vs-5_27,pananipuuvish uum iinaak.,pananipuuvish uum iinaak,VS
karuk-2011-12-21-vs-5_28,hooy pamipusihich?,hooy pamipusihich,VS
karuk-2011-12-21-vs-5_29,pananipusihich ukviit-hitih.,pananipusihich ukviithitih,VS
karuk-2011-12-21-vs-5_30,uum ukviit-hitih.,uum ukviithitih,VS
karuk-2011-12-21-vs-5_31,hooy pamiputiruh?,hooy pamiputiruh,VS
karuk-2011-12-21-vs-5_32,pananiputiruh uum iikam.,pananiputiruh uum iikam,VS
karuk-2011-12-21-vs-5_34,pananichishii uum iikam.,pananichishii uum iikam,VS
karuk-2011-12-21-vs-5_35,paah uum papusihich ukrii.,paah uum papusihich ukrii,VS
karuk-2011-12-21-vs-5_36,panani'apxaan uum paah uthiv.,pananiqapxaan uum paah uthiv,VS
karuk-2011-12-21-vs-5_37,papusihich uum paahak ukrii.,papusihich uum paahak ukrii,VS
karuk-2011-12-21-vs-5_38,ahup too thiishrih kaan.,ahup too thiishrih kaan,VS
karuk-2011-12-21-vs-5_39,too thiishrih.,too thiishrih,VS
karuk-2011-12-21-vs-5_40,pa'ahup uum tu'iinka.,paqahup uum tuqiinka,VS
karuk-2011-12-21-vs-5_41,pa'ahup uum aak tu'iinka.,paqahup uum aak tuqiinka,VS
karuk-2011-12-21-vs-5_42,naa panani'apxaan uum nithxuunatih.,naa pananiqapxaan uum nithxuunatih,VS
karuk-2011-12-21-vs-5_43,nithxuunatih.,nithxuunatih,VS
karuk-2011-12-21-vs-5_44,faat uthivtakoo pamixvaah?,faat uthivtakoo pamixvaah,VS
karuk-2011-12-21-vs-5_45,pananixvaah uum yaamach.,pananixvaah uum yaamach,VS
karuk-2011-12-21-vs-5_46,yaamach mixvaah.,yaamach mixvaah,VS
karuk-2011-12-21-vs-5_47,faat uthaaniv kaan peempaah?,faat uthaaniv kaan peempaah,VS
karuk-2011-12-21-vs-5_48,impaah papuuvish uthaaniv.,impaah papuuvish uthaaniv,VS
karuk-2011-12-21-vs-5_49,faatva kaan ukrii pakaas.,faatva kaan ukrii pakaas,VS
karuk-2011-12-21-vs-5_50,achviiv vaa kaan ukuuntakoo.,achviiv vaa kaan ukuuntakoo,VS
karuk-2011-12-21-vs-5_51,achviiv vaa kaan ukrii.,achviiv vaa kaan ukrii,VS
karuk-2011-12-21-vs-5_52,akaay vaa kaan ukrii pa'ikrivkir.,akaay vaa kaan ukrii paqikrivkir,VS
karuk-2011-12-21-vs-5_53,pa'as paathkurihi pa'ishahak.,paqas paathkurihi paqishahak,VS
karuk-2011-12-21-vs-5_54,nishkaakuriheesh.,nishkaakuriheesh,VS
karuk-2011-12-21-vs-5_55,hooy tivaaram?,hooy tivaaram,VS
karuk-2011-12-21-vs-5_56,ithaantakoo vaa kaan ipahak.,ithaantakoo vaa kaan ipahak,VS
karuk-2011-12-21-vs-5_57,vaa kaan puuvish tharishrih.,vaa kaan puuvish tharishrih,VS
karuk-2011-12-21-vs-5_58,apmaan thiishrih.,apmaan thiishrih,VS
karuk-2011-12-21-vs-5_59,pachishiih iinaak voonfuruk.,pachishiih iinaak voonfuruk,VS
karuk-2011-12-21-vs-5_60,vaa kaan ip nikveeshrihat peekrivraamak.,vaa kaan ip nikveeshrihat peekrivraamak,VS
karuk-2011-12-21-vs-5_61,pa'ikxurikar iyuunkuriheesh pay'ook.,paqikxurikar iyuunkuriheesh payqook,VS
karuk-2011-12-21-vs-5_62,teexuriha hum?,teexuriha hum,VS
karuk-2011-12-21-vs-5_63,iim karu teexuriha.,iim karu teexuriha,VS
karuk-2011-12-21-vs-6_01,pa'avansa panamniik ukrii.,paqavansa panamniik ukrii,VS
karuk-2011-12-21-vs-6_02,ip nimahat pa'avansa.,ip nimahat paqavansa,VS
karuk-2011-12-21-vs-6_03,pa'avansa ip nimahat Orleans ukrii.,paqavansa ip nimahat Orleans ukrii,VS
karuk-2011-12-21-vs-6_04,pa'avansa Orleans ukrii iin ip namahat.,paqavansa Orleans ukrii iin ip namahat,VS
karuk-2011-12-21-vs-6_05,pa'avansa Orleans ukrii ip iin namahat.,paqavansa Orleans ukrii ip iin namahat,VS
karuk-2011-12-21-vs-6_06,pa'avansa iin neemusti Orleans aramsiiprintih.,paqavansa iin neemusti Orleans aramsiiprintih,VS
karuk-2011-12-21-vs-6_07,pa'avansa Orleans aramsiiprinti iim iin neemustih.,paqavansa Orleans aramsiiprinti iim iin neemustih,VS
karuk-2011-12-21-vs-6_08,pa'avansa too kyivishrih.,paqavansa too kyivishrih,VS
karuk-2011-12-21-vs-6_09,pa'avansa paOrleans aramsiiprinti ukyivishrih.,paqavansa paOrleans aramsiiprinti ukyivishrih,VS
karuk-2011-12-21-vs-6_10,vaa pa'avansa nipitaptih.,vaa paqavansa nipitaptih,VS
karuk-2011-12-21-vs-6_11,vaa nipitapti pa'avansa panamniik aramsiiprintih.,vaa nipitapti paqavansa panamniik aramsiiprintih,VS
karuk-2011-12-21-vs-6_12,vaa ip nichuphuunishti pa'avansa.,vaa ip nichuphuunishti paqavansa,VS
karuk-2011-12-21-vs-6_13,nichuphuunish pa'avansa paOrleans ukrii.,nichuphuunish paqavansa paOrleans ukrii,VS
karuk-2011-12-21-vs-6_14,pa'avansa iin nipitaptih.,paqavansa iin nipitaptih,VS
karuk-2011-12-21-vs-6_15,yupsitanich too xrara.,yupsitanich too xrara,VS
karuk-2011-12-21-vs-6_16,naa ta neexrara.,naa ta neexrara,VS
karuk-2011-12-21-vs-6_17,naa puneexraratihara.,naa puneexraratihara,VS
karuk-2011-12-21-vs-6_18,payupsitanich puxraratih.,payupsitanich puxraratih,VS
karuk-2011-12-21-vs-6_19,xayfaat ixraratih.,xayfaat ixraratih,VS
karuk-2011-12-21-vs-6_20,xayfaat ixrara.,xayfaat ixrara,VS
karuk-2011-12-21-vs-6_21,naa nixrareesh.,naa nixrareesh,VS
karuk-2011-12-21-vs-6_22,xayfaat ikshah.,xayfaat ikshah,VS
karuk-2011-12-21-vs-6_23,naa nikshaatih.,naa nikshaatih,VS
karuk-2011-12-21-vs-6_24,naa ta nikshah.,naa ta nikshah,VS
karuk-2011-12-21-vs-6_25,ta kunikyamiichvunaa.,ta kunikyamiichvunaa,VS
karuk-2011-12-21-vs-7_01,vaa kaan papaah iikam ipit.,vaa kaan papaah iikam ipit,VS
karuk-2011-12-21-vs-7_02,vaa kaan ipit pachiipich ukrii.,vaa kaan ipit pachiipich ukrii,VS
karuk-2011-12-21-vs-7_03,ipit iikam uum pa'achkuun ukrii.,ipit iikam uum paqachkuun ukrii,VS
karuk-2011-12-21-vs-7_04,ipit ip iikam pa'achnaat ukrii.,ipit ip iikam paqachnaat ukrii,VS
karuk-2011-12-21-vs-7_05,ipit ip iikam ukrii pa'achnaat.,ipit ip iikam ukrii paqachnaat,VS
karuk-2011-12-21-vs-7_06,ipit ip iikam pa'akviish ukreet.,ipit ip iikam paqakviish ukreet,VS
karuk-2011-12-21-vs-7_07,ipit ip iikam pa'akviish ukrii.,ipit ip iikam paqakviish ukrii,VS
karuk-2011-12-21-vs-7_08,chuupha ti'itapti hum pa'ararahih?,chuupha tiqitapti hum paqararahih,VS
karuk-2011-12-21-vs-7_09,ta neekshupih.,ta neekshupih,VS
karuk-2011-12-21-vs-7_10,uxus xaatik ni'itap.,uxus xaatik niqitap,VS
karuk-2011-12-21-vs-7_11,pay papuuvish upsheek.,pay papuuvish upsheek,VS
karuk-2011-12-21-vs-7_12,pay papuuvish vura uum upsheek.,pay papuuvish vura uum upsheek,VS
karuk-2011-12-21-vs-7_13,ipit pananipuuvish upsheek.,ipit pananipuuvish upsheek,VS
karuk-2011-12-21-vs-7_14,ipit papuuvish upsheek.,ipit papuuvish upsheek,VS
karuk-2011-12-21-vs-7_15,panaa neepsheekti pay puuvish.,panaa neepsheekti pay puuvish,VS
karuk-2011-12-21-vs-7_16,iim teepsheek.,iim teepsheek,VS
karuk-2011-12-21-vs-7_17,naa karu ta neepsheek.,naa karu ta neepsheek,VS
karuk-2011-12-21-vs-7_18,naa neepsheektih.,naa neepsheektih,VS
karuk-2011-12-21-vs-7_19,naa karu neepsheektih.,naa karu neepsheektih,VS
karuk-2011-12-21-vs-7_20,too hyiiva.,too hyiiva,VS
karuk-2011-12-21-vs-7_21,pi'eep pihneefich vaa kaan ukrii.,piqeep pihneefich vaa kaan ukrii,VS
karuk-2011-12-21-vs-7_22,akaay vaa kaan ukreenik pi'eep?,akaay vaa kaan ukreenik piqeep,VS
karuk-2011-12-21-vs-8_01,ta nitatuyshuru.,ta nitatuyshuru,VS
karuk-2011-12-21-vs-8_02,nitatuyshureesh.,nitatuyshureesh,VS
karuk-2011-12-21-vs-8_03,ta numah.,ta numah,VS
karuk-2011-12-21-vs-8_04,ta numah iin.,ta numah iin,VS
karuk-2011-12-21-vs-8_05,,,
karuk-2011-12-21-vs-8_06,ta nuthitiv.,ta nuthitiv,VS
karuk-2011-12-21-vs-8_07,iim puta nathitivara.,iim puta nathitivara,VS
karuk-2011-12-21-vs-8_08,iim punuthitiimtihara.,iim punuthitiimtihara,VS
karuk-2011-12-21-vs-8_09,iim ta numsakar.,iim ta numsakar,VS
karuk-2011-12-21-vs-8_10,iim puneemshakaantihara.,iim puneemshakaantihara,VS
karuk-2011-12-21-vs-8_11,iim ta nu'afish.,iim ta nuqafish,VS
karuk-2011-12-21-vs-8_12,iim punu'afishrihara.,iim punuqafishrihara,VS
karuk-2011-12-21-vs-8_13,iim nupareesh.,iim nupareesh,VS
karuk-2011-12-21-vs-8_14,nupareesh.,nupareesh,VS
karuk-2011-12-21-vs-8_15,iim payeem ta nupar.,iim payeem ta nupar,VS
karuk-2011-12-21-vs-8_16,iim naa punupareeshara.,iim naa punupareeshara,VS
karuk-2011-12-21-vs-8_17,iim punupareeshara payeem.,iim punupareeshara payeem,VS
karuk-2011-12-21-vs-8_18,naa vura puna'aytihara.,naa vura punaqaytihara,VS
karuk-2011-12-21-vs-8_19,naa vura ni'ayti payeem.,naa vura niqayti payeem,VS
